,seed,trials,steps,n_done,n_reset,env,env_dt,gifs,rep_,n_bins,normalize_state,length_scale,n_rotates,specify_encoder_samples,neuron_type,rule,eps,dynamic_epsilon,lr,act_dis,state_dis,n,lambd,learnTrials,state_neurons,active_prop,dimensionality,terminal_reward_learning,terminal_reward,episodes_to_learn,trial_ID,build_time,total_time,avg_trial_time
0,0,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,506,ACTrial#20230328-143456-e8d4f085,,,
1,1,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,229,ACTrial#20230328-143804-23f9b89e,,,
2,2,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,361,ACTrial#20230328-144357-c2035a51,,,
3,3,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,495.23,495.23,325,ACTrial#20230328-144930-5d7e914b,,,
4,4,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,573,ACTrial#20230328-145613-54b97be0,,,
5,5,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,382,ACTrial#20230328-150017-89ddf33d,,,
6,6,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,494.96,494.96,417,ACTrial#20230328-150340-5bbdbc0e,,,
7,7,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,532,ACTrial#20230328-150713-326248ba,,,
8,8,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,497.63,497.63,453,ACTrial#20230328-151046-cd5a6d57,,,
9,9,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,496.43,496.43,474,ACTrial#20230328-151435-e341ded9,,,
10,0,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,176.11,176.11,,ACTrial#20230329-121447-90f8af9d,0.11385226249694824,204.66978931427002,0.20455593705177308
11,1,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,158.38,158.38,,ACTrial#20230329-121813-70416d51,0.11701226234436035,328.1618802547455,0.3280448679924011
12,2,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,21.73,21.73,,ACTrial#20230329-122343-91b31450,0.11070084571838379,99.1138277053833,0.09900312685966492
13,3,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,82.2,82.2,,ACTrial#20230329-122524-e60727a5,0.12100696563720703,155.52715730667114,0.15540615034103394
14,4,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,143.39,143.39,,ACTrial#20230329-122801-f96041d4,0.1157987117767334,335.25436639785767,0.3351385676860809
15,5,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,107.85,107.85,,ACTrial#20230329-123338-89aa4efc,0.1129753589630127,278.7722291946411,0.2786592538356781
16,6,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,123.42,123.42,,ACTrial#20230329-123819-3492d77a,0.11712002754211426,295.56454157829285,0.2954474215507507
17,7,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,31.24,31.24,,ACTrial#20230329-124316-17ad5e93,0.11341595649719238,99.69935393333435,0.09958593797683715
18,8,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,84.42,84.42,,ACTrial#20230329-124457-efcdee7e,0.11631655693054199,229.11800169944763,0.2290016851425171
19,9,1000,500,1,1,CartPole-v1,0.001,False,Discrete,19,False,1.0,5,False,RectifiedLinear(),TD0,0.259453,True,0.283112,0.9,0.99,None,None,1000,,,130321,29.69,29.69,,ACTrial#20230329-124848-82c9ed3d,0.11833953857421875,80.48686957359314,0.08036753034591675
20,0,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,123.05,123.05,,ACTrial#20230329-125147-d6df7345,0.1167750358581543,53.527050733566284,0.05341027569770813
21,1,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,134.7,134.7,,ACTrial#20230329-125242-9dd62ac3,0.10721015930175781,54.685922145843506,0.054578711986541746
22,2,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,110.24,110.24,,ACTrial#20230329-125339-4a8f0701,0.11875367164611816,80.4535140991211,0.08033476042747498
23,3,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,16.78,16.78,,ACTrial#20230329-125502-e2a3e55b,0.12095355987548828,16.814719438552856,0.01669376587867737
24,4,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,50.72,50.72,,ACTrial#20230329-125520-ed5ec2ef,0.12192320823669434,35.950488328933716,0.03582856512069702
25,5,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,16.91,16.91,,ACTrial#20230329-125557-0ecf8c6a,0.10718607902526855,14.03972053527832,0.013932534456253053
26,6,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,34.55,34.55,,ACTrial#20230329-125612-62e7db0f,0.12036776542663574,26.03427767753601,0.025913909912109376
27,7,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,17.51,17.51,,ACTrial#20230329-125640-93e7bdaf,0.11010074615478516,13.435558557510376,0.013325457811355591
28,8,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,33.15,33.15,,ACTrial#20230329-125654-ae4d0b53,0.1156611442565918,20.656060934066772,0.02054039978981018
29,9,1000,500,1,1,CartPole-v1,0.001,False,Discrete,15,False,1.0,5,False,RectifiedLinear(),TD0,0.293466,True,0.264277,0.9,0.99,None,None,1000,,,50625,29.9,29.9,,ACTrial#20230329-125716-08272d9d,0.12029647827148438,23.18913960456848,0.023068843126296996
30,0,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,14.61,14.61,,ACTrial#20230329-130639-1b83cc11,0.12081241607666016,4.674227714538574,0.004553415298461914
31,1,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,28.73,28.73,,ACTrial#20230329-130645-64b9fbf9,0.11167216300964355,8.3989577293396,0.008287285566329955
32,2,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,50.06,50.06,,ACTrial#20230329-130655-a0b25672,0.10540056228637695,14.783705234527588,0.01467830467224121
33,3,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,15.25,15.25,,ACTrial#20230329-130711-4862a001,0.11703824996948242,6.231717824935913,0.006114679574966431
34,4,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,16.84,16.84,,ACTrial#20230329-130719-50dd8928,0.11000800132751465,6.431321620941162,0.006321313619613647
35,5,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,16.1,16.1,,ACTrial#20230329-130727-e119a855,0.11262321472167969,6.244972229003906,0.006132349014282227
36,6,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,29.88,29.88,,ACTrial#20230329-130734-5972068a,0.12532591819763184,9.006298542022705,0.008880972623825074
37,7,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,35.58,35.58,,ACTrial#20230329-130744-e60fd5b8,0.1169748306274414,12.104121208190918,0.011987146377563476
38,8,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,15.13,15.13,,ACTrial#20230329-130758-0e7e5bcb,0.10606694221496582,5.728038311004639,0.005621971368789673
39,9,1000,500,1,1,CartPole-v1,0.001,False,Discrete,11,False,1.0,5,False,RectifiedLinear(),TD0,0.448556,True,0.085822,0.9,0.99,None,None,1000,,,14641,30.06,30.06,,ACTrial#20230329-130804-ea493be5,0.1058650016784668,8.444211721420288,0.008338346719741822
40,0,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,50.72,50.72,,ACTrial#20230329-130905-0d46845d,0.11469411849975586,7.919035196304321,0.007804341077804565
41,1,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,53.45,53.45,,ACTrial#20230329-130914-e2992660,0.11245894432067871,8.024442434310913,0.007911983489990235
42,2,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,11.65,11.65,,ACTrial#20230329-130923-0763fc8e,0.11600685119628906,5.635679244995117,0.005519672393798828
43,3,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,11.74,11.74,,ACTrial#20230329-130930-f4c22fa9,0.11632537841796875,3.151454210281372,0.0030351288318634035
44,4,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,39.55,39.55,,ACTrial#20230329-130934-00bb8c9b,0.10888791084289551,8.918389320373535,0.00880950140953064
45,5,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,47.24,47.24,,ACTrial#20230329-130945-8938b6e0,0.11821341514587402,10.564974069595337,0.010446760654449463
46,6,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,11.17,11.17,,ACTrial#20230329-130957-963ba1f6,0.10700774192810059,4.7427427768707275,0.004635735034942627
47,7,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,32.86,32.86,,ACTrial#20230329-131003-e7e9bd88,0.10705447196960449,10.876962900161743,0.010769908428192138
48,8,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,11.81,11.81,,ACTrial#20230329-131016-f9c0ac7e,0.11987662315368652,3.5828018188476562,0.0034629251956939697
49,9,1000,500,1,1,CartPole-v1,0.001,False,Discrete,7,False,1.0,5,False,RectifiedLinear(),TD0,0.307233,True,0.170501,0.9,0.99,None,None,1000,,,2401,11.9,11.9,,ACTrial#20230329-131021-b8a1af05,0.1159369945526123,3.6225478649139404,0.003506610870361328
50,0,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,12.83,12.83,,ACTrial#20230329-133615-e0a5780e,0.11328744888305664,3.2694530487060547,0.003156165599822998
51,1,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,13.59,13.59,,ACTrial#20230329-133620-c97fa5a8,0.11455655097961426,3.7103030681610107,0.0035957465171813966
52,2,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,13.15,13.15,,ACTrial#20230329-133625-fce451d9,0.12389898300170898,3.8814942836761475,0.0037575953006744383
53,3,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,14.09,14.09,,ACTrial#20230329-133630-2167281e,0.11024308204650879,4.073510408401489,0.003963267326354981
54,4,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,14.66,14.66,,ACTrial#20230329-133635-6410377e,0.10946345329284668,4.0088231563568115,0.003899359703063965
55,5,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,15.2,15.2,,ACTrial#20230329-133641-aba92466,0.12155842781066895,4.046154260635376,0.003924595832824707
56,6,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,13.87,13.87,,ACTrial#20230329-133646-d8a7ee52,0.11631536483764648,3.917184591293335,0.0038008692264556885
57,7,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,13.17,13.17,,ACTrial#20230329-133651-5cd2ede6,0.10906076431274414,3.730506420135498,0.003621445655822754
58,8,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,12.56,12.56,,ACTrial#20230329-133656-ee6dbdb3,0.10884332656860352,4.061068296432495,0.003952224969863891
59,9,1000,500,1,1,CartPole-v1,0.001,False,Discrete,3,False,1.0,5,False,RectifiedLinear(),TD0,0.556489,True,0.208818,0.9,0.99,None,None,1000,,,81,13.35,13.35,,ACTrial#20230329-133702-48736cdd,0.11139965057373047,3.925919532775879,0.0038145198822021483
60,10,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,498.55,498.55,294,ACTrial#20230329-151525-55224cde,1.3438286781311035,202.6028618812561,0.201259033203125
61,11,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,258,ACTrial#20230329-151851-fd85b143,1.780226469039917,189.00302004814148,0.18722279357910157
62,12,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,392,ACTrial#20230329-152202-d11f0715,1.4450082778930664,191.70409512519836,0.1902590868473053
63,13,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,493.31,493.31,311,ACTrial#20230329-152517-b62bcbd8,1.7644617557525635,187.88902163505554,0.186124559879303
64,14,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,479.01,479.01,453,ACTrial#20230329-152828-796042b6,1.4429032802581787,154.613689661026,0.1531707863807678
65,15,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,287,ACTrial#20230329-153105-adf7b964,1.451789140701294,208.29159235954285,0.20683980321884154
66,16,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,291,ACTrial#20230329-153437-d0164ae9,1.8870432376861572,179.61769485473633,0.17773065161705018
67,17,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,376,ACTrial#20230329-153739-da0b6716,1.4438929557800293,183.3806836605072,0.18193679070472718
68,18,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,497.03,497.03,376,ACTrial#20230329-154045-70a950bf,1.446441888809204,161.04419136047363,0.15959774947166444
69,19,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,478.9,478.9,242,ACTrial#20230329-154328-70f6e2b9,1.4418315887451172,188.9673306941986,0.1875254991054535
